"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"TMEM67",543.127841412186,-0.880034172917841,0.100800509764016,5.60733609680708e-19,4.09214295367526e-18
"CMSS1",894.551788390396,0.400589785875311,0.0684893162854738,3.61184208877223e-09,1.13588353227379e-08
"TMEM39A",639.211251871556,-0.461994369009327,0.0794719407941834,4.01536847048667e-09,1.25518614772032e-08
"MAN2A2",666.622283112019,-0.234072056798115,0.0733628274791374,0.00126925769682731,0.00227603242991972
"ARHGEF7",718.163753031898,-0.196240023791851,0.0722961233669062,0.00612625592103628,0.0100109635911294
"SIMC1",661.174014693429,-0.178319044424382,0.0723526963276662,0.0128210245806166,0.0200181164407199
"PRR12",737.541750096083,0.0356079381921284,0.0747163065581166,0.630142138310601,0.683248007778553
"RSRP1",825.050571386289,0.151862896647965,0.0720361419494959,0.0332898610924958,0.0485730481584119
"FN3KRP",985.09993992183,0.515196699367582,0.0756345443115569,5.7226342881019e-12,2.28854518731231e-11
"TMEM203",1074.99952178872,0.595257958119269,0.0654100562221046,4.50977134073507e-20,3.61129435772623e-19
"DRG2",1146.50269994012,0.661144944541384,0.068731780825211,2.82822419335104e-22,2.75894904873067e-21
"GMPPA",1110.40855800768,0.556461479738848,0.0765027083005868,1.90126972433316e-13,8.66611834848817e-13
"NOL9",1021.82358132631,0.604187701325207,0.0788642788283623,8.9853957055699e-15,4.59860837798592e-14
"SKP2",638.208995878457,-0.29275209363307,0.0758960678208308,9.65115589147705e-05,0.000196294449669828
"SFSWAP",917.259980083613,0.336823313784622,0.0730521956302756,3.20422874079236e-06,7.6095500843338e-06
"ZNF12",561.034849486429,-0.560962985606515,0.0865334609550197,4.82779199610337e-11,1.77360597930317e-10
"UBXN2A",643.869094371653,-0.199583929797198,0.0748508468500688,0.00705132615752467,0.0114285659607131
"PDCL",638.952292931048,-0.228965773028189,0.0808268203358328,0.00413595660388293,0.00694003854201137
"RNF181",1322.12171430598,0.766526250854105,0.0896066463782608,3.74185941137737e-18,2.57224256176201e-17
"PHF21A",735.841805087778,-0.224724201607167,0.0714953130266871,0.00150704568495595,0.0026778920495644
"BHLHE41",645.322767517592,-0.474186228485884,0.0750966264611974,1.74257974312728e-10,6.12990336424217e-10
"SLC35C2",1138.32477128136,0.734048636517022,0.0710402959823545,1.7550258755328e-25,2.32985293466749e-24
"CEBPZOS",689.968505663209,-0.214586876609289,0.074386691409884,0.0035605414421459,0.00602845121775919
"SLC35C1",873.703141724507,0.217084911865525,0.0722977485703402,0.00242885545034283,0.00420787597011145
"LOC102724428",744.293195963375,-0.103395688804633,0.0720516261341665,0.147365728771322,0.19035444930555
"MRS2",640.727922152471,-0.278893492621352,0.0765130501715488,0.00022845914954388,0.000445276018188526
"KDELR3",800.713169122298,-0.0713673886243553,0.0692446517598139,0.298412554271508,0.358026117054975
"PTGFRN",665.670917252984,-0.129499728940295,0.0741994838031455,0.0778631771845632,0.106399874004938
"LAMTOR1",1225.27630751477,0.804716791282484,0.0799316092083181,2.18540514314616e-24,2.60876700597846e-23
"PLEKHF2",567.471350972976,-0.515467366875798,0.0853189496084611,8.99985674641108e-10,2.98030576240608e-09
"SDAD1",678.353276014444,-0.220710415060799,0.0737428424128726,0.00249869402707927,0.00432276628134254
"CLGN",635.92873216656,-0.494092996739734,0.081162749969184,7.06582031438909e-10,2.36831281193066e-09
"FAM193A",752.475553698947,0.0490789362885462,0.0726413205880015,0.495070694178255,0.556319758773941
"DPH1",872.521649817801,0.262652210324875,0.0731070439306003,0.000284716205981762,0.000550029375879349
"POLA2",1009.57188609816,0.469923866443605,0.0729443007773628,7.62860841011705e-11,2.74723505321393e-10
"COG4",1034.91687880634,0.520225169658348,0.0722419247393711,3.51096518476037e-13,1.56751127511408e-12
"ARID1B",598.077787585431,-0.350301590529559,0.0774023472586053,4.71371973886393e-06,1.09932510268443e-05
"COL12A1",422.356147206949,-1.38978086244249,0.095476046213937,1.66738930743172e-49,2.14394505139387e-47
"SKAP2",574.278767827375,-0.566076345393809,0.0825300858743505,3.67948582154024e-12,1.49854413504117e-11
"DUSP14",797.929677932071,0.0137894841356629,0.0730940474356142,0.848894968932959,0.875214278393576
"KIAA1217",629.397753399262,-0.442255048188669,0.0815960606453963,4.04091814849662e-08,1.15634667068361e-07
"NUP37",953.874033904154,0.360298465088524,0.0686064615092444,1.16775598602841e-07,3.20355591485282e-07
"RNF103",656.065511738419,-0.270235876587786,0.0725097681859832,0.000167377994363523,0.000331733749545204
"URB1",584.27269714478,-0.368903834462348,0.0845769954257756,9.81834541432765e-06,2.21261027272304e-05
"CCNG2",641.835928767999,-0.27947376472185,0.0774485048015457,0.000262927894448399,0.000509807482830365
"AKAP10",550.651714308847,-0.654147081520005,0.0841067927556339,3.17927901784914e-15,1.70263570091159e-14
"MTO1",621.384705200002,-0.459034665895784,0.08608811347585,6.37702139177535e-08,1.79254977743825e-07
"SCAND1",1532.49641317757,1.12789308454961,0.0869313863493379,1.63669436481591e-39,7.61965883426881e-38
"ULK1",926.618311095478,0.381479911381692,0.0657792888121091,5.00653934094064e-09,1.54959393952406e-08
"SREBF1",1160.9653897192,1.08432655263613,0.0734806889093707,3.18635283124822e-50,4.30189495746823e-48
"SLC39A13",975.711639540754,0.411731734564142,0.0827562847851063,4.64896772901813e-07,1.20494746226673e-06
"REL",505.562356023828,-0.829432421220765,0.0898528147500322,7.01737496460182e-21,6.07707372656121e-20
"AK6",828.98887976445,0.127234620911939,0.0731379046417003,0.0789160799590329,0.10769695699251
"TMEM243",825.386452788291,0.188406395438939,0.0685415861934054,0.00555555963096921,0.00913922390370602
"SLC17A5",534.668852235479,-0.775377975935341,0.0818005615619301,7.95602541501543e-22,7.4593263283419e-21
"HIBCH",686.677248457911,-0.185938042824181,0.0752094059443242,0.0124737087922026,0.0195029001046354
"COG2",679.751255591902,-0.261221388716388,0.0747702562489322,0.000414925280452009,0.000786122117791548
"LGALS3",991.471174388606,0.415215527619748,0.072757157812794,8.19580377296353e-09,2.48376086955737e-08
"SLC38A9",599.641509121367,-0.453021377758267,0.0867333379708391,1.16790624493782e-07,3.20355591485282e-07
"FAN1",643.44850479541,-0.527273259129671,0.0777014808557991,6.67040041280051e-12,2.65107671395996e-11
"SMG9",1012.48706502256,0.575103346713616,0.0729123783561232,1.61046678453019e-15,8.81350306361656e-15
