"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LGALS9",11.65936974015,1.62824096505368,0.541048712214649,3.00941657986557,0.0026174994805,0.00376025329710901
"EIF4EBP3",47.8187609174755,3.20361307569651,0.359461000824298,8.91226883681442,4.99987227277865e-19,1.64161662341402e-18
"SEPTIN1",14.4917363216311,1.2815484275235,0.469401304504381,2.73017653599542,0.0063300418340794,0.00879509054254462
"SLC26A4",7.0217962127737,-2.24050266292799,0.759288883422277,-2.9507908147286,0.00316961502346025,0.00452213594333054
"LOC124906236",16.7305047569436,1.28920054393784,0.428153057578579,3.01107400990878,0.00260325392850393,0.00374138080569848
"TMEM74",11.6376056554899,-1.50006910598114,0.569850609072517,-2.63239010733468,0.00847864468950275,0.0116639680000995
"ENTREP2",14.9195352654687,1.61832976163602,0.493099866920695,3.28195132507772,0.00103091399096939,0.00153201648784564
"ZMYND10",19.5183682487141,1.2486305149367,0.411250954771962,3.03617657405577,0.00239599005394802,0.00345305953440993
"IL21R",19.7782322145707,1.01417554916627,0.441634138365991,2.29641565509096,0.0216521267023873,0.0285585543775822
"SAP25",25.2524375626083,1.6855682821483,0.398760109805625,4.22702331727696,2.36803136761214e-05,3.98837219238168e-05
"SMIM1",12.5781941302,1.15400797942007,0.492585212592278,2.34275806483712,0.0191417910454549,0.0253913657795919
"ERFL",14.2897599324788,1.1013876469417,0.46218175752095,2.38301843164326,0.017171334559378,0.0228968086801148
"FA2H",18.3798926102,0.931365946544232,0.417401740330641,2.23134179030126,0.0256584974796062,0.0336097190717147
"NTSR1",18.51031738321,1.10157257158155,0.41366817305539,2.66293769579912,0.00774617551063296,0.0106846256200506
"PHOSPHO1",16.5952443644815,1.25812329940638,0.414177299329232,3.03764426839407,0.00238435241126441,0.00343665441491202
"CRYBG2",12.4483154464324,1.13624025090399,0.487582143003162,2.33035657111138,0.0197873131026166,0.0262115889127185
"OR7E24",17.4341808453027,2.30430861127649,0.502703916596306,4.58382864187421,4.56538421685484e-06,8.05505126917893e-06
"MAPK15",12.4581749519008,1.37027128547531,0.509191066277037,2.69107487586944,0.00712222077216953,0.00985721195746395
"INKA1",13.4741371596489,1.03337890251535,0.458346433279455,2.25458043847217,0.0241596764403559,0.0317202948187538
"ITGA10",9.02846377097771,-1.42612092876379,0.592789543995152,-2.4057794932622,0.0161380022117045,0.0215786043240787
"WAS",21.4230943097746,1.33310019730558,0.408882940196166,3.26034682852263,0.00111276051986094,0.00164910864749095
"TMIE",15.550402554413,1.41359184680764,0.446731132782805,3.16430117149437,0.00155455838976006,0.00227513201302445
"PRRT1",19.5730076961197,1.54314451864559,0.410124138459009,3.76262788248399,0.000168137283884995,0.000267187084478733
"TREX2",14.9444382328447,1.09636145319877,0.481839922704603,2.27536449666689,0.0228840733194261,0.0300952536416883
"TMEM249",13.8753950371604,1.0661717658259,0.472339101418857,2.25721682287838,0.0239945297304162,0.0315126601060651
"LOC105379554",30.3165054029703,1.88244769762022,0.353894885936548,5.31922831447116,1.04208298228398e-07,2.01217996908124e-07
"LDLRAD2",49.5544473215701,3.61121821733227,0.640942883468971,5.63422780792462,1.75844450884117e-08,3.54233949774166e-08
"MEF2B",26.9231828547557,2.20369294264435,0.432575378010128,5.09435593117081,3.49928812548446e-07,6.57443487088307e-07
"ALDH1L1",20.2274242721172,1.24340677433795,0.41402080743281,3.00324706395278,0.00267115484952783,0.00383284744643163
"TMEM236",7.24221471942825,-2.62832407149549,0.783700738542112,-3.35373433025578,0.000797288727160397,0.00119815172588964
"ZP1",22.545385406507,1.70858251705961,0.393317184827503,4.34403220344656,1.39890994890915e-05,2.39465997467001e-05
"MFNG",24.0346742117893,1.48203566496473,0.394238528628157,3.75923598873457,0.000170433021307542,0.000270644109700438
