"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"C1orf159",350.385419989902,1.00777969789375,0.108648593170428,6.6055339079744e-21,2.34934966521503e-20
"ZFAND2B",343.917475854468,1.04501570699029,0.118937174986528,5.32706117748496e-19,1.74734336630769e-18
"B3GAT3",459.210217124893,1.40524280585191,0.100318099575596,1.96980598691329e-45,2.16919662555598e-44
"ABCC2",137.068810473552,-1.24331078290061,0.147039498684016,5.88759512698038e-18,1.86024857967147e-17
"ZNF234",155.64734819874,-1.36613769897384,0.13996072824297,2.52130299033014e-23,1.00324526001907e-22
"ITPR1",174.934533596504,-1.1018873077628,0.141290441095649,1.87434684175403e-15,5.30514815734196e-15
"TGFB2",168.179395365969,-1.20252932502855,0.139252788970527,1.38549472172897e-18,4.47930178114532e-18
"RNF169",142.129436624259,-2.14502114624839,0.176884644289138,1.40351491932266e-36,1.0095287653583e-35
"DPM3",394.574086850504,1.31118018289984,0.125329530402151,2.33988867715659e-26,1.06152006150172e-25
"ZNF569",205.351522106039,-1.19884212610589,0.146168727157972,5.62875856431044e-17,1.70237162582337e-16
"CCS",406.877114202505,1.13012815296663,0.104415631906924,7.72552157890596e-28,3.73843250311145e-27
"ABHD11",373.580209272952,1.06585981921517,0.115818553978807,1.15251591633794e-20,4.06163335590668e-20
"IFI6",378.323183361383,1.01091091977984,0.104116779516455,1.02457220056832e-22,3.95447377926613e-22
"ZNF567",172.681747262838,-1.32713605812178,0.137323173465367,7.30215031453003e-23,2.83946807017483e-22
"ZNF675",183.879060834693,-1.13072005857889,0.133207385506483,5.92550338879329e-18,1.87135020472744e-17
"PRADC1",390.66727650223,1.07118247028428,0.0976397313959041,1.74668819101922e-28,8.74380321355228e-28
"ZNF81",155.197061160988,-1.32729657448,0.141056261000292,8.45984193586447e-22,3.13350688548988e-21
"SNRNP35",396.171442747359,1.12545699095134,0.119152498651491,1.02405293769869e-21,3.77546114469415e-21
"IL1RAP",174.921521386448,-1.22138551541304,0.148917186220759,5.30352109721797e-17,1.60580485161561e-16
"ZNF493",165.106483924943,-1.60764740774501,0.155051575054007,2.23218094952104e-26,1.01402002017105e-25
"EVA1B",406.347670455227,1.17827973205427,0.112665654558657,3.45990079504013e-26,1.55914955386638e-25
"ANAPC15",447.470987709141,1.37321712206259,0.117909162484103,3.65626365612124e-32,2.14064248140906e-31
"NUDT1",480.365044970549,1.34135351082865,0.119133001226744,3.4875209409585e-30,1.87814201132352e-29
"DENND1B",155.79191252116,-1.27713408388755,0.145102230740693,2.62135186509339e-19,8.7105270811287e-19
"CEP44",183.372294881363,-1.3120032461462,0.147803589158926,1.21302643844664e-19,4.09836585221924e-19
"PCDHGB5",173.393450826992,-1.08477055236377,0.147710715654892,6.42187513599986e-14,1.69571164113307e-13
"FDX2",434.325160251577,1.1278452157564,0.10197746285,5.7324346476276e-29,2.92714070263314e-28
"TOR2A",393.474631599636,1.09929281427588,0.105255752251318,4.83603877302141e-26,2.16842774741156e-25
"ERI2",168.783420015072,-1.55815435848017,0.165526674296237,3.69837419099254e-22,1.38969523942639e-21
"C17orf49",520.178641217913,1.32961329600841,0.111032454087643,8.37568743896392e-34,5.32643222390259e-33
"FNDC10",424.348244733551,1.19901828056747,0.100807421961398,3.13662996833261e-33,1.94433614336357e-32
"TAFAZZIN",418.839266778769,1.09507844805109,0.0960301967053372,1.26343606966074e-30,6.93964620687132e-30
"PRDM10",198.355995797695,-1.07058626670264,0.127436453771605,1.43760876756967e-17,4.44858032797573e-17
"CCDC138",214.987569962063,-1.02565980405116,0.144259109544058,4.08783776279125e-13,1.04033737295843e-12
"SH3BGRL2",201.09453091261,-1.03243056695097,0.131595715300418,1.51164448016674e-15,4.29928631277253e-15
