"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"OSBPL3",628.693554734788,-0.798400720188723,0.0955899290241164,-8.35235184647218,6.69169735878872e-17,4.14044940609563e-16
"ZMYND19",1136.77384325308,0.543316639519813,0.0765445178053143,7.0980477125965,1.26531505816338e-12,5.40601854438729e-12
"SCAMP3",1237.90916646553,0.590419434159099,0.0708365060270824,8.33495985718675,7.75244906701489e-17,4.77272297554802e-16
"NXT1",1346.53418828397,0.740906371870348,0.0741445220061141,9.99273246119588,1.63997548627163e-23,1.80303819545222e-22
"GCSH",1047.40921236193,0.535972605467287,0.0651103814684317,8.23175342210441,1.84492721209642e-16,1.09776828076306e-15
"RICTOR",487.735325845221,-1.22923082351346,0.0908674080316794,-13.5277416858299,1.07268581536523e-41,6.11068826719237e-40
"PDP2",639.941141030391,-0.696019011400033,0.0768362259820251,-9.05847472991266,1.32287363361348e-19,1.01059855552421e-18
"CDH13",681.110046936279,-0.651328656991958,0.0828796246023687,-7.85873078113993,3.88045243934505e-15,2.06993237390745e-14
"SLC12A2",640.884616825617,-0.726554812462381,0.0866515135588893,-8.38479078577902,5.0816053605622e-17,3.17623860985881e-16
"HMG20B",1369.01569508509,0.894757208980558,0.0757658320616043,11.8095081204024,3.48594629361852e-32,8.4042430196685e-31
"ELL2",657.826937019402,-0.618980418398291,0.0808975433691711,-7.65141180583954,1.98784627424131e-14,9.85239080342581e-14
"SYTL2",656.225214334136,-0.590071936624753,0.0792939450625435,-7.44157622828995,9.94909451537649e-14,4.65428707734227e-13
"GADD45GIP1",1708.70143147611,1.06365490313005,0.0887931018734746,11.979026305959,4.57667353656447e-33,1.20213364624819e-31
"BCKDK",1404.98149743285,0.62295687121154,0.0781244427890303,7.97390482379237,1.53737951819052e-15,8.43060961620238e-15
"BCAP29",677.19581337697,-0.616570052978701,0.0792560065915426,-7.77947413066476,7.28266353605452e-15,3.76717396169625e-14
"NBPF20",665.787803651493,-0.713317589824075,0.0745385264001094,-9.56978389933703,1.07129358467171e-21,9.92692840538963e-21
"BOK",1143.48898203813,0.52097669592569,0.0872666938526674,5.9699373601257,2.37344693678605e-09,7.59694336025331e-09
"DYNLT3",636.272153194239,-0.560430559432665,0.0796669679265249,-7.03466661301253,1.99737999630713e-12,8.36660627688154e-12
"NCOA7",624.484640076133,-0.740349694893418,0.104936200715371,-7.05523632308303,1.72307627359651e-12,7.25678506444065e-12
"CDT1",1412.89170552597,0.924592407563355,0.0803813648550174,11.5025716374812,1.28042668172631e-30,2.67601248142212e-29
"KAT6A",525.055435331748,-1.04693879244454,0.0903770223533382,-11.5841257565604,4.9600113943267e-31,1.08182736405177e-29
"RLF",597.890768555318,-0.859553194741355,0.084348066027499,-10.1905501243043,2.185240979997e-24,2.60876700597846e-23
"ZNF623",624.583917228778,-0.853950570504636,0.0816794908046323,-10.4548958629919,1.39151557701627e-25,1.8637749806842e-24
"INPP4B",626.717043218932,-0.711203975917258,0.0794372365575955,-8.95303017498101,3.45855278557643e-19,2.56419116738426e-18
"CCSAP",611.533256813992,-0.783539021223874,0.0902263785541975,-8.68414574295715,3.81599265735106e-18,2.62053493727857e-17
"GINS2",1319.88485591997,0.89841137352054,0.0656449021920924,13.6859275209456,1.23224651243416e-42,7.6314496166851e-41
"SAMD4A",700.549605387035,-0.639994696030725,0.0776464216143169,-8.24242357503207,1.68756910130657e-16,1.00902880587865e-15
"UBE2W",667.442072212805,-0.634597648916442,0.0790032975057895,-8.03254634871332,9.54701524252494e-16,5.33723614034489e-15
"PEF1",1260.70353809556,0.544058456197408,0.0746903534838002,7.28418638847934,3.2361734224119e-13,1.44914021147539e-12
"TBC1D10B",1218.95576180056,0.617838069754351,0.0758909009802241,8.14113499476504,3.91589481551257e-16,2.27195942863065e-15
"CNST",623.660315018811,-0.789852853604119,0.0934927935502306,-8.4482752478645,2.95637724140929e-17,1.89255804344556e-16
"DNAJB14",512.961476769293,-1.2762116866884,0.099024680822877,-12.887814190193,5.2716851106635e-38,2.09949913507575e-36
"RANBP6",579.811874898249,-0.811326299877542,0.0797169940730843,-10.177582701296,2.49686779780968e-24,2.97006274345626e-23
"DNPEP",1188.25256391007,0.647763408177246,0.0716682903918459,9.0383544052133,1.59047985279356e-19,1.20786837871091e-18
"FKBP1C",694.271542472182,-0.58174770637463,0.0823598026488691,-7.06349077662121,1.62370983533028e-12,6.86125398647705e-12
"CSNK1G1",628.43516104025,-0.864662521079611,0.076856295300442,-11.2503799161737,2.30596652837579e-29,4.33605210300857e-28
"SAMM50",1115.05701319498,0.532511939983254,0.0683596852135605,7.78985360040276,6.70868809449672e-15,3.49032747452024e-14
"PRR14L",596.300584209609,-0.876010526408019,0.0812529976975106,-10.7812702451821,4.22017310196647e-27,6.51905687066926e-26
"OTUB1",1300.49357988337,0.721456700918593,0.0790011030826398,9.13223578870673,6.70989835008082e-20,5.29149168367063e-19
"MBNL2",590.224718396518,-0.867244634922113,0.0971362632977217,-8.92812432226281,4.33292546573355e-19,3.18968520789906e-18
"FGFR1OP2",645.85688332306,-0.690709128282446,0.0823977482539594,-8.38262140554619,5.17617593595377e-17,3.23385244383674e-16
"PGM1",1136.09054665146,0.516213442576079,0.0672095677978807,7.68065410163754,1.58278319994114e-14,7.90279437219131e-14
"RBIS",1427.43638140614,0.727722137819852,0.0773416106627688,9.40919295038895,4.99960884189083e-21,4.37741368186563e-20
"COMMD7",1279.08785661675,0.660182732193367,0.0659561780834168,10.0094146049277,1.38570039412095e-23,1.53221466183677e-22
"ABCA1",677.101124496519,-0.514571920434385,0.0784623240110237,-6.55820391404784,5.44597075128538e-11,1.98987959710701e-10
"MRPL14",1342.24607534599,0.623225949629629,0.076297104573804,8.16840892077061,3.12483174872706e-16,1.82633564673437e-15
"HSPA4L",693.608854579708,-0.765632288830468,0.0884381406212029,-8.65726352287091,4.83224662824512e-18,3.29995759878287e-17
"IMP3",1314.03966715695,0.616026620686466,0.0787623485989239,7.82133381805838,5.22665377341614e-15,2.75214713708624e-14
"SHARPIN",1405.80356888398,0.746664988342389,0.0854067579050958,8.74245793491056,2.28092817133391e-18,1.59146311323923e-17
"SMIM13",695.179502551704,-0.656736162879237,0.0769303368235897,-8.5367644286442,1.38032569086572e-17,9.0729197431247e-17
"GSTK1",1348.79858503085,0.581304246708253,0.0689870982520342,8.4262747881429,3.56843630525767e-17,2.26291491579539e-16
