"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"BTG2",371.922050866592,0.0217122400576584,0.0963141320653062,0.820121439109303,0.840541983558392
"KIF13B",373.600148926607,-0.309568160379715,0.0951303046374201,0.00103174756998466,0.00153291778830889
"TBC1D4",249.280465023706,-1.34415233177998,0.124754354407178,7.50549582478873e-28,3.63587008003131e-27
"EYA3",425.047342085226,-0.0136112255180695,0.0875218924724999,0.875536101433158,0.890173424613982
"ZNF8",301.981370049553,-0.644630999561712,0.110171401554008,3.25563523879629e-09,6.82732702065683e-09
"FBXO33",316.208146901771,-0.85006203579235,0.111204002767096,1.04417421694997e-14,2.85777338395327e-14
"KIF21B",421.222942050961,-0.0567628052872594,0.0909965781885962,0.529598892719631,0.569866474105981
"GDAP2",356.576420475741,-0.715397466714616,0.0979348276272847,1.69641347124512e-13,4.39855545905136e-13
"SEL1L3",320.885059733233,-0.536774018330141,0.100104847753342,6.21204269632076e-08,1.214433658312e-07
"TMCC3",354.284841217656,-0.619884913521005,0.0972867095082356,1.28960795701534e-10,2.90861961705047e-10
"PTBP2",403.233142378211,-0.436868503261406,0.0999134718709295,1.01747928480963e-05,1.75619890363269e-05
"AMPD3",395.678511695533,-0.299079826072244,0.0905011114125832,0.00086839255079185,0.00130037353906841
"TCTN2",445.099863575704,-0.000137928693285593,0.0906808329821264,0.998777063560907,0.998999046905898
"MOB1B",290.830793695683,-1.28934305755137,0.110176275212278,2.40969344718112e-32,1.42315272223938e-31
"GNPTG",682.047088015057,1.04872685612796,0.0836485033100638,1.62844205887272e-36,1.16696370683867e-35
"ZDHHC24",507.756428708875,0.337390129656699,0.0854117150266847,6.97656345235066e-05,0.000113715541675946
"LSM10",705.389536297537,1.06008669347541,0.090900090015304,6.7615761729132e-32,3.91626082842132e-31
"MAD2L2",728.798387458658,1.16026201365137,0.0841745036314647,8.70554169515039e-44,8.68046664890882e-43
"RAB2B",407.451984383494,-0.458378195103002,0.103168765160968,7.2092334925722e-06,1.25540902080765e-05
"THOC6",642.72503394221,1.04185282724174,0.101149225550483,2.46724944328955e-25,1.07141636326318e-24
"HS1BP3",594.747084108429,0.786312955050846,0.0866061098861014,6.0634942352395e-20,2.07301179209847e-19
"UCP2",686.970607075837,1.0020747095687,0.0937498885160047,4.37804148719634e-27,2.05521342554373e-26
"LSM11",380.636766839908,-0.474779537767466,0.0922990559044369,2.16043517326753e-07,4.10817398229366e-07
"ZNF280C",282.887286831064,-1.28114889990634,0.112939401324484,1.58362694948375e-30,8.65609208298793e-30
"BCAT2",708.485135448411,1.18900322140798,0.0816366787191853,1.20897994835231e-48,1.57400562031867e-47
"IMPACT",356.895600336362,-0.998049157628548,0.115175351646079,1.70718120935329e-18,5.49693620497943e-18
"MRPL2",656.455081449208,1.04578846293909,0.0884963736262356,1.11292807448951e-32,6.69343585620113e-32
"METRN",641.879014795393,0.971031203909828,0.0922519621283481,2.65864117307931e-26,1.20289257633189e-25
"MCM9",384.531538257409,-0.667212832412585,0.0955605160337948,1.89476837524125e-12,4.65706678211035e-12
"ZNF428",728.132499062687,1.20344036880206,0.102016217248498,9.93069173030641e-33,5.99974494741163e-32
"COA8",626.973245675226,0.615090200786701,0.0850375319379016,3.28541088289408e-13,8.39605003406265e-13
"NAGA",495.570094123714,0.250252175118905,0.0877943126919569,0.00409219724225282,0.0057870278587677
"ATP8B1",303.085011957675,-1.20344914797694,0.128231815954464,1.5049880560883e-21,5.50795439014587e-21
"PCDH1",442.0446954828,0.0737262499619797,0.0886644036608577,0.402240329842681,0.444370075542594
"L3MBTL3",306.813447176987,-0.96131475229183,0.102971635831561,4.11414846524797e-21,1.47491020789466e-20
"NFU1",661.161967004012,0.724047577749415,0.0829975056462947,1.63348223747676e-18,5.26465592938022e-18
"CSTPP1",597.96613754268,0.966691870260497,0.0858255708902888,8.14018664336604e-30,4.29971282754636e-29
"ZFYVE19",672.459624579029,0.979396227891304,0.108969929884202,9.96840158598816e-20,3.37809713384604e-19
"POLG2",310.144856604388,-0.460499551048675,0.103688208006099,7.25541857314282e-06,1.26312580471955e-05
"PC",410.207869643625,0.257739656560896,0.10374122780757,0.0120889387050891,0.0163891037822861
"EBPL",509.831795660371,0.603351984272316,0.0867534649501276,2.4906981683307e-12,6.09293639620089e-12
"ZNF133",593.504840313288,0.807656479713503,0.0896050164771834,1.06966279951671e-19,3.61852103640066e-19
"TSEN54",648.408650873609,0.836172846395468,0.101018285179354,6.42090961461423e-17,1.93934453483013e-16
"ACD",691.177095705298,1.01639089079873,0.0902589887763952,7.60538319790765e-30,4.02037112587906e-29
"C11orf24",590.095774844848,0.793993669960999,0.0880103543775156,1.01520988913245e-19,3.43862235654221e-19
"CMBL",369.862034112204,-0.414370967017512,0.099364665691329,2.56700941873373e-05,4.3116688432849e-05
"ZNF426",390.27506706253,-0.350964323610532,0.0897418543437788,8.13871323887277e-05,0.000132099984897837
"FCGRT",643.83278151661,0.949948286095826,0.0926856941997969,5.02728639862682e-25,2.1506145015165e-24
"CDK8",429.370463817301,-0.305868802937891,0.100084289950947,0.00203679596540096,0.00295336508741042
"FAHD1",586.889769484518,0.536172941285485,0.0800857979001206,1.63802312677293e-11,3.86625004100722e-11
"HSPBP1",780.020488126391,1.30467232198435,0.0844882845015374,1.62728942107149e-54,2.7880754408485e-53
"FBXO46",536.040551552373,0.427573765547747,0.0881138469134563,1.01991969927965e-06,1.87091519836611e-06
"IKZF5",351.779669516083,-1.1478450153514,0.106864681556248,1.81180922450068e-27,8.64660174619431e-27
"TEAD3",491.375502221822,0.291303150934979,0.0890297335155799,0.000979952620255371,0.00146062489799821
"MTHFS",610.986129167863,0.659083245741748,0.0833214916113342,1.69869543588773e-15,4.82011077762091e-15
"ZSCAN18",623.020825164512,0.800973476153687,0.0856392336094346,4.62566688451249e-21,1.65477288308964e-20
"NECAP1",418.509045110799,-0.233985656939482,0.0997363736703586,0.0178887520507048,0.0238111053373327
"SLC25A4",568.263424697994,0.427377367239871,0.0882633599178969,1.07517550191829e-06,1.96933176657154e-06
"ZNF672",657.728333163784,0.880243936457324,0.0807191521143828,5.21737553962233e-28,2.55216620146526e-27
"KTI12",536.92166553259,0.491202273689733,0.0872139463767087,1.40944179871464e-08,2.85590180465952e-08
"CLASRP",587.851613345972,0.631065680693692,0.0801095234320443,2.28434757019391e-15,6.43190334623315e-15
"CCM2",672.763194739662,0.982296249242261,0.0823342222547057,3.26424620674501e-33,2.02065969909511e-32
"ZNF75A",387.445281497155,-0.328761086357918,0.0918887090377427,0.000310852962196449,0.000483616713829714
"NDUFAF2",670.168347069599,0.944165614921305,0.085651833078011,1.25934562585289e-28,6.34655666093313e-28
"SLC2A13",235.187313877422,-1.86018886792871,0.134624337441946,3.95471642200279e-45,4.26458677423799e-44
"ALMS1",356.118691825168,-0.735455446315934,0.0994332044919663,8.30724784854493e-14,2.18241593203122e-13
"DNAJC1",555.058109590451,0.582715870363738,0.0824484933349121,1.13888553275581e-12,2.83378060776561e-12
"CENPX",643.477257478667,0.866362575215635,0.0853825157564027,1.67282060189511e-24,6.9878561095872e-24
"CNTRL",381.040500926552,-0.579290052041942,0.10546957635162,2.85690709195189e-08,5.69231148884925e-08
"TMEM51",492.230519075159,0.337820107696221,0.0818720257852655,3.29561206938719e-05,5.49309364799957e-05
"SLC25A25",478.423330889718,0.285085011408883,0.092336685742383,0.00185775013143748,0.00270274617721308
"FOXF2",483.866809412296,0.38443419685591,0.0909022776348118,2.02793015110469e-05,3.43397528785456e-05
"SORBS3",686.693814262996,1.02544290736321,0.100730637325989,8.82873601670039e-25,3.73540473085152e-24
"ZBTB21",271.557882366708,-1.45151465164688,0.116189616652811,9.84186900854272e-37,7.1246688195354e-36
"B4GALT4",438.70613021672,-0.10440108118407,0.0895174060700857,0.239995390249611,0.276088766509884
"NAF1",390.798972883275,-0.409433599030956,0.0958697467956948,1.6510185399045e-05,2.8130238903648e-05
"WDR20",395.533079715632,-0.263780291993506,0.0926566546633413,0.00410831248543746,0.00580860057240456
"ZGPAT",596.563141570758,0.797281200581137,0.0805186243349093,2.23308199789964e-23,8.90134043508801e-23
"POLR1G",423.818605500215,-0.129132790641901,0.0955493337818198,0.172874611005796,0.203237558619753
"TRIP4",503.989546743262,0.178916762203564,0.0953075377950646,0.0583290565257788,0.0732286211785885
"HS6ST1",546.035578073014,0.441290673838848,0.0918640631248602,1.28736716439139e-06,2.34970178267517e-06
"UBL3",295.298534434224,-1.35503016717211,0.118072315316969,2.79604649296261e-31,1.58278506085904e-30
"CEP85",449.77397778926,-0.120155443662677,0.0952926613590903,0.20350653715097,0.23677540141979
"RALGAPA1",275.925390200122,-1.69822488688595,0.115520939578815,3.01424836436938e-50,4.21277092829721e-49
"ZNF585B",321.063705817338,-0.899939130039677,0.109182532829796,7.7023714268688e-17,2.31757781667385e-16
"NADK2",347.907914359285,-0.819261226585495,0.0973534947688376,2.05655260178499e-17,6.31608659615539e-17
"CEP290",316.717015576129,-1.09646610747089,0.130679082628017,1.48147641422518e-17,4.58012664723016e-17
"TRAPPC12",597.302346553294,0.707870356753759,0.089055721660411,1.16767617757935e-15,3.33717105704884e-15
"PPARG",476.595481607205,0.0675896909809697,0.0908534736652653,0.453446677770757,0.495466461361524
"CREB3L1",642.765150055925,0.906573153060671,0.0878288741347002,2.55444179316458e-25,1.10856697684072e-24
