"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CLN8",304.638217440613,-0.232263208836323,0.105072287476657,-2.21050873083849,0.0270698752590592,0.0400559388286452
"TMEM44",437.976764982085,0.574933198137536,0.099184999294611,5.79657410118844,6.7683286150488e-09,2.06880698736187e-08
"RBM15",263.696877683706,-0.452586451390598,0.114696949512691,-3.94593276729229,7.94899180247268e-05,0.000162901242145088
"CTSS",293.493531028766,-0.127907372683627,0.109804702671095,-1.16486242913253,0.244074683666238,0.299568391288899
"SHOX2",229.546735351013,-0.401928413344261,0.115483606367601,-3.48039367652638,0.000500677503979543,0.000941192840605376
"ST3GAL5",315.324510640299,-0.0193637202289464,0.101061644478572,-0.191603058992891,0.84805314618157,0.874546709944804
"COA5",373.915635414712,0.343406145613429,0.105959125400525,3.24093035229722,0.00119140288631835,0.00214439812934063
"PER1",309.264048221531,0.0758569984985339,0.112602909941635,0.673668189728421,0.500522289976568,0.561584927862847
"BORCS7",343.435041547936,0.245908337056007,0.108709527832477,2.26206793423807,0.0236932063812117,0.0353695244750927
"DNAJC19",364.852400964938,0.341064829898725,0.103273246260246,3.30254777737159,0.000958107645588954,0.00174331688990518
"ZNF580",527.795619583159,0.927536456416229,0.101754864077074,9.11540165503702,7.8379598882939e-20,6.13450993923802e-19
"CDC14A",200.393103044303,-0.724094162932235,0.133153418742326,-5.43804409809019,5.38686436009933e-08,1.52533673921353e-07
"KAT8",361.795326516075,0.375190789301719,0.100019445309578,3.75117846475188,0.00017600536101541,0.000347455531374331
"TATDN3",298.107843521319,0.00785656761471429,0.108257453076233,0.0725729951283983,0.942145916803873,0.953159387243843
"AP4M1",475.049531841925,0.7317735462908,0.0903446639172879,8.09979820126125,5.50504273734443e-16,3.13866478027395e-15
"DCUN1D2",255.869499385968,-0.520563852772746,0.112662567073526,-4.62055735365069,3.82710525172323e-06,9.0126893430168e-06
"CERS1",465.447809511938,0.60217627788411,0.1069059382914,5.63276734209771,1.77340630610781e-08,5.21515106485766e-08
"CISD3",513.760597939265,0.993391953216381,0.10322791862196,9.62328763843794,6.37600086598434e-22,6.04511149520046e-21
"B9D1",402.471281831426,0.396698814403665,0.100875777698873,3.93254776768969,8.40502708781198e-05,0.000171933743503863
"RELT",326.832359362339,0.225091390878302,0.106320014977785,2.11711210655241,0.0342503344510961,0.0498505568590177
"ALKBH6",497.09473762882,0.735016082332015,0.095507928426428,7.6958645679161,1.40540609328497e-14,7.05629887149142e-14
"GLRX2",412.758337270759,0.418249755801448,0.0973194218808798,4.29770078487921,1.72578910546447e-05,3.79353284156233e-05
"YIPF1",404.007249607402,0.355422698642556,0.10091263671529,3.52208316234295,0.000428169803877894,0.000810419251669067
"FNIP2",218.597976278052,-0.899451339622866,0.118550086897917,-7.58709979181524,3.27145135563722e-14,1.59335731430224e-13
"GATB",368.837877862263,0.235494113388377,0.097136639109784,2.4243592896211,0.0153354249517113,0.0235893326048825
"COQ3",412.57994547923,0.471267873327452,0.0958868442730408,4.914833488372,8.88579492268307e-07,2.23777499069472e-06
"POLE2",311.513085003364,0.277269976639892,0.102441234603049,2.7066247074656,0.00679710480429094,0.011041042870285
"CEP131",458.336043599059,0.662899324390044,0.0960417470432057,6.90219977039599,5.12033583283612e-12,2.05681803270219e-11
"NAGPA",455.886474924726,0.693390691720754,0.0996099942963457,6.96105543042071,3.37732844050426e-12,1.38257462932832e-11
"PLCXD2",184.612229631975,-1.25466866319349,0.128572376781499,-9.75846207872261,1.69709171900706e-22,1.69095463456194e-21
"EVI5L",436.054592565486,0.444139107305503,0.108103101719339,4.1084770024323,3.9827685514325e-05,8.41624013349353e-05
"OGG1",374.268827906672,0.347399106180623,0.0978235554042771,3.55128276359329,0.000383358314223815,0.000729694149208477
"PDE2A",320.50718137708,-0.155556197729367,0.105233587642248,-1.47819913028334,0.139354486639234,0.18092363920726
"ABHD16A",402.506003517509,0.49547537926841,0.102039828202626,4.85570573761175,1.19958731019972e-06,2.98867471397054e-06
"CNKSR3",263.64228766874,-0.0683578825329096,0.106282182559484,-0.643173492364549,0.520111531380108,0.580188861039647
"REEP2",467.54418811401,0.684577744734417,0.106373361904331,6.43561256764741,1.22976349618516e-10,4.36118648857259e-10
"TRIM21",344.313299693889,0.266911670579206,0.101364916491424,2.63317605161534,0.00845904877053914,0.0135603915282651
"SUSD6",261.386636744782,-0.444442853633765,0.110762726321961,-4.0125669382846,6.00620397232254e-05,0.000124466246861591
"RMND1",368.411372740838,0.426505724258712,0.0950784236014773,4.4858308342008,7.2630351836897e-06,1.66003450169282e-05
"TAF3",269.463297058061,-0.170918358604742,0.110527605090599,-1.54638615814248,0.122011335065286,0.16058442529893
"NPIPB3",422.150176566209,0.553119199852672,0.0955236331885072,5.79039114604384,7.0222696858806e-09,2.14254605715421e-08
"TBC1D3G",209.086709307638,-1.01206672472299,0.12247941051148,-8.26315803200351,1.4186822045768e-16,8.55454597766476e-16
"PITPNM3",275.642963966005,-0.276111280247519,0.105203970347056,-2.62453288917385,0.00867679122237113,0.0138913030111743
"ATXN1",251.220780945783,-0.577232095248717,0.114911612751839,-5.0232703329584,5.07989625505874e-07,1.31110073292961e-06
"H2BC12",354.720134794562,0.196720309540126,0.100537494164431,1.95668602221562,0.0503843942708993,0.0711994669302294
"DDX59",288.273600227028,0.0215239744293642,0.111798822330138,0.192524160637441,0.8473316444403,0.874002943814538
"PCYT2",433.912308525296,0.880451303029122,0.0968739006140397,9.08863272200603,1.00292297487936e-19,7.75224437927957e-19
"BCAS4",392.166106909365,0.337529149379783,0.0982534607250266,3.43529018610751,0.000591919621622396,0.00110563182229164
"POLR3G",276.295725853748,-0.418412040224996,0.121675338916599,-3.43875795991652,0.000584389471790493,0.00109201968977764
"KCNQ3",239.515834857729,-0.738949005588607,0.116536453829627,-6.34092579021605,2.28388539305277e-10,7.9409571701276e-10
"PDSS2",287.23834577484,-0.118036933999415,0.102753728094729,-1.14873626668412,0.250664746583794,0.306597639393712
"YPEL2",190.913112846042,-1.05202532633292,0.12782895133421,-8.2299456840758,1.87298351745579e-16,1.11250112050905e-15
"TIFA",274.0666158753,-0.108328980554019,0.107576377113273,-1.00699599169392,0.313936700399519,0.374234857284869
"OXLD1",460.811265685114,0.748438681003307,0.0943515427164245,7.9324477317001,2.14868161834578e-15,1.1655022309878e-14
"LRRCC1",297.224244343306,-0.043709580992405,0.104580586043155,-0.417951195782823,0.675982800196542,0.724723559553206
"PTPN21",242.982306436173,-0.504901512922106,0.11547617998861,-4.3723433955982,1.22919984471987e-05,2.74213930990797e-05
"MRTFA",356.474932839789,0.274284344743244,0.0970604278651287,2.82591320454901,0.00471460370359218,0.00784469615506507
"CFH",246.847275181326,-0.655556569878083,0.112239552735266,-5.8406912171533,5.19846791642102e-09,1.60495118544707e-08
"IFT70A",248.561604453095,-0.334988614147866,0.11996737080304,-2.79233104722987,0.00523297876486838,0.00864648712574814
"PABPC1L",333.748513234608,-0.174887238564587,0.104609285041963,-1.67181372565956,0.0945610593848491,0.127234289690537
"ZNF584",386.266914581091,0.293251196758656,0.103100596602122,2.84432104588443,0.00445061786371675,0.00743384780131633
"LSM6",429.514197326418,0.530467113237391,0.0925354484139394,5.73258272726414,9.89127634573057e-09,2.97222617279565e-08
"FGD4",196.592503179933,-1.00480696218408,0.123095638904763,-8.16281528025118,3.27304847954362e-16,1.9113074187854e-15
"COG7",356.476094847188,0.225348162943684,0.0976899070805692,2.30677016365497,0.0210676363947855,0.0317377994829278
"CCDC9",427.550656970602,0.680583832093251,0.106404127919051,6.39621643824774,1.5927419604255e-10,5.61305382607797e-10
"PRAF2",473.560691469378,0.548422750319546,0.0954327632956089,5.74669255484903,9.10059829518808e-09,2.74747713737331e-08
"BANP",388.385845982346,0.29726275510932,0.0967474748958496,3.07256344859986,0.0021222871068814,0.00370528879219007
"RTL8B",400.178070288721,0.602160107172067,0.103609143171328,5.81184332522018,6.17886563097095e-09,1.89635973820729e-08
"YDJC",487.122455764587,0.875076907757014,0.0998764159843667,8.76159701098994,1.92503395878575e-18,1.35363976445659e-17
"IFT140",345.016136019812,0.302907258802572,0.0983401493800442,3.08019929512167,0.00206862124270727,0.00361720201117359
"DUS3L",435.041772197022,0.590366285096271,0.0963187698208597,6.12929635827238,8.82685737988501e-10,2.92660612686217e-09
"UPRT",261.978493193687,-0.0608346269441578,0.109855282228868,-0.553770612663098,0.579735842653733,0.636290839091785
"MTMR9",226.10524964142,-0.706768105406981,0.11352053785184,-6.22590518668447,4.78783559455648e-10,1.6245430601183e-09
"UNC93B1",421.981443304717,0.554721102489295,0.104192055076342,5.3240249660384,1.01495967179823e-07,2.79880934006288e-07
"TM2D1",328.091129648335,0.00720948015607876,0.10418147653094,0.0692011708428579,0.944829491145999,0.955714561435111
"EEF1AKMT2",338.089779926362,0.0442339815566046,0.101360616464832,0.436402057321267,0.662545046557313,0.712466799965774
"C1orf21",348.739215520674,0.0101734547375603,0.101435689399004,0.100294628033161,0.920110422198423,0.935140831835359
"KLHL13",200.13979768249,-0.809728072383592,0.125371600857989,-6.45862433631031,1.05659033334511e-10,3.77281832596993e-10
"ARMCX5",236.366842046242,-0.413218931150569,0.116425468817777,-3.54921423419233,0.000386382590192765,0.000735139705495001
"ZNF585A",226.656857666174,-0.696974212784018,0.116409058368948,-5.98728503219245,2.13372671385838e-09,6.86545385219302e-09
"STS",236.600836370398,-0.695435701656821,0.120562648475976,-5.76825169692085,8.00981175767536e-09,2.42903118913691e-08
"TADA2A",348.128738781112,0.210721381939246,0.102069021234686,2.06449889878671,0.0389704382015762,0.0562235398759864
"SMAD6",262.979932298452,-0.513681091958416,0.10892655009907,-4.71584835369535,2.40705671924782e-06,5.79074710737079e-06
"PAXX",606.818185950157,1.07671238735549,0.0909610157178536,11.8370752443583,2.5105604677491e-32,6.19654056217196e-31
"CNIH3",312.519298028869,-0.131730885838368,0.118862488851979,-1.10826289362336,0.267748295736146,0.324990536791666
"KAT2B",206.363330175782,-0.6970000284584,0.133537029122021,-5.21952624707194,1.79381393084118e-07,4.82916886944902e-07
"SMPD1",465.891440944211,0.543635830235872,0.100263045365711,5.42209573081441,5.89043201846662e-08,1.66095912032828e-07
"ENDOD1",265.793473308436,-0.304885962567869,0.109381419845099,-2.78736519419509,0.00531385578411943,0.00877153282080896
