"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ERCC2",1287.64858105399,0.420586372726101,0.0650468576607798,6.46589839772837,1.00698723781756e-10,2.28608284812088e-10
"GATAD1",950.294947464798,-0.577188637203145,0.0744838997939581,-7.7491731609086,9.24928193204189e-15,2.53964928542806e-14
"SPIRE1",749.967464747096,-1.06251597931921,0.0781179939896043,-13.6014242692996,3.92710570264136e-42,3.61416864971786e-41
"SPTSSA",1157.18929037406,-0.191666921409615,0.0712631165726863,-2.68956692644953,0.0071544799300943,0.00989780034185912
"DNAJB12",1277.34197583133,0.326499053578792,0.0620954050124161,5.25802277178977,1.45612492311551e-07,2.79130236930036e-07
"ABCF2",1637.01131292015,0.903177256519722,0.0678701595738733,13.3074279210536,2.09572954174886e-40,1.79990105236332e-39
"TAF5L",958.420307743606,-0.653192378952351,0.0775362766084842,-8.42434544865516,3.62772499138128e-17,1.1033546994512e-16
"ZZEF1",931.12795926656,-0.481960350442427,0.0646906999300142,-7.45022624525376,9.31802984966543e-14,2.44419508452172e-13
"SLC52A2",1592.86037827099,0.859712588160683,0.0709065550263022,12.1245854891946,7.8255140946126e-34,4.9835974429889e-33
"COX6B1",2052.12557022086,1.33055707115007,0.092886183783117,14.3245961558377,1.53618474016578e-46,1.78947628791874e-45
"NOTCH1",992.443284686274,-0.219471599815661,0.0665845956160381,-3.29613175217358,0.000980260320187214,0.00146076099148428
"TXNDC9",1211.12027534845,0.0686450767376332,0.0645847185071883,1.06286871452406,0.287841492511765,0.326889372695079
"RRP7A",1479.26474799739,0.752191760671222,0.0696799970154737,10.7949453629308,3.63678770776967e-27,1.71260100602017e-26
"METTL16",947.610244872995,-0.62112947204756,0.0762234998026167,-8.14879234955093,3.67576498194286e-16,1.07393427875374e-15
"RXRA",1241.74344476968,0.242527315617585,0.0671014089916071,3.61434013476409,0.000301113543360669,0.000469058953376301
"MYSM1",637.725549545383,-2.0635521313842,0.107771386351824,-19.1474954645906,1.01554839514925e-81,8.06524640171176e-80
"SACM1L",830.604121781186,-1.00056436580437,0.0763606451744943,-13.103141854262,3.15904607094288e-39,2.57952192362173e-38
"AMFR",1194.12850269575,0.0813743925115664,0.0669097300361812,1.21618174916509,0.22391569454623,0.258560194326775
"UBN1",891.240278567192,-0.572055064204113,0.0748787278240246,-7.63975405069009,2.17637073285292e-14,5.88487507795859e-14
"CHD1L",1229.85983495078,-0.0757203797298604,0.0646067922129216,-1.17201887195254,0.241189479416664,0.277391529227735
"REV3L",678.532337194321,-1.46798799357078,0.0872683641274436,-16.8215367418482,1.69699151782554e-63,4.57307035572109e-62
"MCTS1",1292.27039544484,0.271988496671793,0.0618326851834472,4.39878190417978,1.08860155694148e-05,1.87440500194706e-05
"ST3GAL1",926.709226334179,-0.336461381660076,0.0713447219350397,-4.71599541682184,2.40531849115298e-06,4.32758594736892e-06
"PPP1R14B",1826.75058465194,1.15942944309357,0.0720171694555111,16.099347584187,2.57808612181364e-58,5.31400621841312e-57
"ABCF2-H2BK1",954.701473665592,-0.596488036181873,0.0767155236295365,-7.77532379316534,7.52546645649716e-15,2.07434305082009e-14
"POLK",724.918474595136,-1.37947901770513,0.0826353073727862,-16.6935788292285,1.45953287913331e-62,3.73911829244381e-61
"CHD9",594.827693037027,-1.85046128693385,0.114852763682924,-16.1115956429438,2.11495135249921e-58,4.38616869586663e-57
"PIK3R4",850.360276919075,-0.840311864769869,0.0756828062360591,-11.1030748800314,1.21200960545124e-28,6.11256693432841e-28
"RPRD2",959.195716865701,-0.490464577804069,0.0687209448113654,-7.13704648779733,9.53576028587263e-13,2.38058985982926e-12
"ARMC9",1099.0688818152,0.0340061288223759,0.0654864142026431,0.519285247733161,0.603561839267934,0.640167208104044
"TSC22D4",1420.37575578681,0.687490351289847,0.0725691740344568,9.47358655292696,2.70396520624166e-21,9.78194915580619e-21
"BMPR1A",823.219953887991,-1.10876935781192,0.0746721255919032,-14.8485040304269,7.11384525107626e-50,9.7506624096224e-49
