"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"TAF4B",171.639980132161,-1.04990266610042,0.139726748882107,6.66716863294658e-15,3.47140160869309e-14
"RAB27B",173.6042113975,-1.01041756617468,0.15228662469576,4.24017554289401e-12,1.71345734823741e-11
"SOGA3",165.663342206791,-1.21006106258003,0.140039867923815,3.47380397436358e-19,2.57408493182671e-18
"PSMB10",533.164518676925,1.19109267826524,0.109671170418897,1.28658957637039e-28,2.28555866718113e-27
"SAA1",561.348213985358,1.09556912228694,0.0940248283118917,2.39717561079541e-32,5.94931395613031e-31
"RELN",164.892044984098,-1.53181141454549,0.138360513567305,1.89772959412595e-30,3.89380657299307e-29
"CD302",171.917039711722,-1.23193725164641,0.127667497684973,2.90260606881851e-23,3.11511005843551e-22
"PLCXD2",184.612229631975,-1.19240994639296,0.125725750180171,1.69709171900706e-22,1.69095463456194e-21
"PAXX",606.818185950157,1.04884624882083,0.0899317708136184,2.5105604677491e-32,6.19654056217196e-31
"NOC4L",527.413284593465,1.02532984392474,0.10394671808398,8.06755065786381e-24,9.10702353108857e-23
"SERPINB2",195.423482524307,-1.33052447040099,0.129756156736325,4.28071596183727e-26,6.03907483811546e-25
"DNPH1",595.829294353205,1.0000182264269,0.106469716992628,8.62554026628729e-22,8.0646412143452e-21
"PLA2R1",218.792538542999,-1.0388615496235,0.118886907738702,2.98199932104848e-19,2.22800071020894e-18
"PLEKHH2",195.72249827076,-1.12652898352259,0.124210573996297,1.07854978935359e-20,9.22197638129373e-20
"CCDC12",652.860356846854,1.09740712213919,0.0953619965127296,1.27642526170903e-31,2.96609594807808e-30
"ZC2HC1A",198.879101459448,-1.09389769316778,0.120487607435386,1.12680484193043e-20,9.60416172405477e-20
"BBLN",631.210835203042,1.19442872703513,0.100390218877424,8.84257387416336e-34,2.50280062631194e-32
"DIXDC1",218.901003756751,-1.05668928987754,0.115077901938914,5.01379496329745e-21,4.38698935835897e-20
"NOTCH3",241.756925157334,-1.06587708158311,0.118701618434424,3.10943639133641e-20,2.52742328232588e-19
"LOC128966723",155.20759038768,-1.56274650146266,0.143814686465332,1.36690207482339e-29,2.6251130742803e-28
"LOC102723728",1541.58487613237,2.43630181770053,0.0849283037866877,9.00144660564177e-194,1.2152853062277e-189
"ZNF614",217.160024146841,-1.01176967937075,0.120504260276616,6.38016317892586e-18,4.31556027448287e-17
"ATAD2B",195.3580707354,-1.49898448449383,0.129220621838736,6.01904096004978e-33,1.56576246631276e-31
